Water,PotholeRoad,Swamp,Road,Road,Swamp,Grass,Wall,PotholeRoad,Road,Water,PotholeRoad,Road,Water,Swamp,AntiTankSpike,Grass,Road,Wall,Grass,PotholeRoad,Water,Road,Swamp,Swamp,PotholeRoad,PotholeRoad,Swamp,Water,Swamp,PotholeRoad,PotholeRoad,Water,Wall,PotholeRoad,AntiTankSpike,Road,Road,Tree,Tree,Tree,Road,Grass,Swamp,PotholeRoad,Swamp,Grass,Tree,Water,AntiTankSpike
PotholeRoad,Water,PotholeRoad,Grass,Wall,Wall,Swamp,Water,AntiTankSpike,Grass,Grass,Water,Water,Grass,Grass,Water,Road,PotholeRoad,Swamp,Water,Swamp,AntiTankSpike,Water,Tree,PotholeRoad,Wall,Tree,Wall,Water,Water,Swamp,Water,Grass,Road,Swamp,Road,PotholeRoad,PotholeRoad,Road,Wall,PotholeRoad,Swamp,Wall,Road,PotholeRoad,PotholeRoad,Tree,PotholeRoad,Swamp,Swamp
Road,Road,PotholeRoad,Road,PotholeRoad,Water,Road,PotholeRoad,Water,Road,Wall,Road,Tree,Water,Wall,Swamp,Wall,PotholeRoad,Road,PotholeRoad,Water,Road,PotholeRoad,Swamp,AntiTankSpike,Water,Grass,Tree,Tree,Grass,Road,Wall,Grass,Tree,Water,Swamp,Swamp,Water,AntiTankSpike,PotholeRoad,Swamp,PotholeRoad,Grass,Grass,Swamp,PotholeRoad,Wall,Grass,Wall,AntiTankSpike
AntiTankSpike,Wall,Tree,Grass,Wall,Road,Water,Grass,Water,Grass,PotholeRoad,Water,Swamp,Grass,Wall,PotholeRoad,PotholeRoad,Tree,Swamp,Grass,AntiTankSpike,Road,PotholeRoad,Tree,PotholeRoad,Swamp,PotholeRoad,Road,PotholeRoad,Water,Swamp,Road,PotholeRoad,Swamp,Swamp,Swamp,PotholeRoad,Water,Water,Swamp,Wall,Road,Road,Tree,Tree,AntiTankSpike,Grass,Tree,Wall,Grass
Grass,Road,Road,Water,Swamp,AntiTankSpike,PotholeRoad,Water,Road,Grass,Grass,Grass,Tree,Swamp,AntiTankSpike,Wall,Water,Road,Grass,Grass,PotholeRoad,Water,PotholeRoad,Road,Swamp,PotholeRoad,Tree,AntiTankSpike,Wall,PotholeRoad,Grass,PotholeRoad,Tree,Swamp,Road,PotholeRoad,Grass,Road,PotholeRoad,Water,Road,Water,PotholeRoad,AntiTankSpike,Water,Tree,Road,Tree,Tree,AntiTankSpike
PotholeRoad,Swamp,Grass,PotholeRoad,Tree,Road,Tree,Road,PotholeRoad,Road,Grass,PotholeRoad,AntiTankSpike,AntiTankSpike,Swamp,Tree,Swamp,PotholeRoad,Water,PotholeRoad,Grass,AntiTankSpike,Road,Wall,Road,Swamp,Swamp,Swamp,PotholeRoad,Water,Wall,Water,Wall,PotholeRoad,Water,Swamp,Grass,AntiTankSpike,PotholeRoad,PotholeRoad,PotholeRoad,Grass,Grass,Wall,Road,Swamp,AntiTankSpike,PotholeRoad,Road,AntiTankSpike
Swamp,PotholeRoad,Tree,Road,Water,Water,Water,PotholeRoad,Grass,Grass,Swamp,Swamp,Grass,Wall,PotholeRoad,Grass,Swamp,Swamp,Swamp,Wall,PotholeRoad,Road,PotholeRoad,AntiTankSpike,Swamp,Water,Grass,Water,Tree,Grass,Swamp,Swamp,Water,Swamp,Road,Road,Grass,Tree,Grass,Grass,Road,Water,Grass,PotholeRoad,AntiTankSpike,Road,Water,Road,Water,Road
Wall,Swamp,PotholeRoad,PotholeRoad,Swamp,Grass,Wall,Road,Water,Road,Wall,Water,PotholeRoad,Water,AntiTankSpike,Wall,PotholeRoad,PotholeRoad,Water,AntiTankSpike,Tree,Wall,Road,Water,Swamp,Water,Road,Road,Grass,Grass,Wall,Road,PotholeRoad,Wall,Water,Tree,Swamp,Road,AntiTankSpike,Grass,Water,Swamp,Water,Wall,Tree,Road,Water,Grass,Road,Water
PotholeRoad,Wall,Grass,Water,Road,Wall,Wall,Grass,Water,Swamp,Road,Tree,Swamp,AntiTankSpike,Water,Grass,Tree,Road,Swamp,Road,Water,Grass,Wall,Swamp,Tree,PotholeRoad,AntiTankSpike,Water,Road,Grass,PotholeRoad,Tree,Road,PotholeRoad,Tree,Water,Swamp,Swamp,Grass,Water,Grass,PotholeRoad,Road,AntiTankSpike,Water,Water,PotholeRoad,Swamp,Road,PotholeRoad
Tree,Tree,Road,Road,Water,Water,Road,AntiTankSpike,Road,Road,Water,Road,Road,Swamp,PotholeRoad,Tree,Tree,Tree,Water,PotholeRoad,PotholeRoad,Road,Road,Tree,Water,AntiTankSpike,Swamp,Swamp,Water,Water,Grass,PotholeRoad,Tree,Wall,Swamp,Road,PotholeRoad,Swamp,Swamp,AntiTankSpike,Swamp,Road,Road,PotholeRoad,Water,Wall,Water,Water,Grass,Water
Water,AntiTankSpike,Wall,AntiTankSpike,AntiTankSpike,AntiTankSpike,Water,Water,PotholeRoad,Grass,Swamp,AntiTankSpike,Water,Swamp,Tree,Swamp,Grass,Road,AntiTankSpike,Road,Water,Water,Grass,Grass,Water,Swamp,Tree,Road,PotholeRoad,Tree,Water,PotholeRoad,Water,Water,AntiTankSpike,PotholeRoad,Grass,Tree,AntiTankSpike,Swamp,Grass,Water,Road,Tree,AntiTankSpike,Road,Wall,Wall,Grass,Grass
Swamp,Road,Grass,Grass,Road,Road,Swamp,Grass,AntiTankSpike,PotholeRoad,Grass,Wall,Road,Water,Road,Swamp,Wall,Road,AntiTankSpike,Water,AntiTankSpike,Water,Grass,AntiTankSpike,PotholeRoad,Swamp,Water,Grass,PotholeRoad,Water,Road,PotholeRoad,Water,Swamp,Grass,Road,Grass,Road,Grass,PotholeRoad,Swamp,Swamp,Tree,Swamp,Wall,Road,AntiTankSpike,Grass,PotholeRoad,Road
AntiTankSpike,Road,Grass,Grass,Wall,Swamp,PotholeRoad,PotholeRoad,Road,Wall,Swamp,Swamp,PotholeRoad,PotholeRoad,Tree,Swamp,Grass,Swamp,PotholeRoad,Swamp,PotholeRoad,Road,Grass,Swamp,Grass,Road,Swamp,Road,Grass,Water,PotholeRoad,Swamp,AntiTankSpike,Swamp,Swamp,Grass,Grass,AntiTankSpike,Water,Grass,PotholeRoad,Water,Swamp,Grass,Water,Water,Water,Grass,Road,Road
Grass,Road,Water,Grass,Water,Wall,Water,Grass,PotholeRoad,Road,Road,Tree,Road,Road,Water,PotholeRoad,AntiTankSpike,AntiTankSpike,Water,Grass,Swamp,Road,Water,Road,Water,Wall,Grass,Wall,Grass,Road,PotholeRoad,Grass,Swamp,Wall,AntiTankSpike,Wall,Swamp,Road,Grass,Grass,PotholeRoad,Grass,Tree,Road,PotholeRoad,Swamp,Wall,Wall,Grass,Grass
Water,Water,PotholeRoad,Water,Road,PotholeRoad,Tree,Grass,Swamp,PotholeRoad,Swamp,AntiTankSpike,Grass,Water,AntiTankSpike,PotholeRoad,Road,Grass,Tree,Wall,PotholeRoad,PotholeRoad,PotholeRoad,Wall,Tree,Swamp,Swamp,Grass,Road,Grass,Swamp,Wall,Road,Grass,Water,Grass,Water,Road,Road,PotholeRoad,Road,PotholeRoad,Road,Road,Swamp,Wall,Grass,Grass,Wall,Water
PotholeRoad,PotholeRoad,Road,Road,Swamp,Grass,Grass,Road,Wall,Wall,Swamp,Road,Grass,Road,Grass,Water,Swamp,Grass,Swamp,Road,Road,Swamp,Road,PotholeRoad,PotholeRoad,Grass,Swamp,Tree,PotholeRoad,Road,Tree,Swamp,Grass,Water,Grass,Swamp,Swamp,Swamp,Wall,AntiTankSpike,PotholeRoad,Tree,Wall,Road,Grass,PotholeRoad,Grass,AntiTankSpike,Swamp,Road
Water,Swamp,Road,Tree,Swamp,Road,Water,Road,Water,Grass,PotholeRoad,Road,AntiTankSpike,Road,AntiTankSpike,Road,Road,PotholeRoad,Tree,Tree,Road,Grass,Swamp,PotholeRoad,Tree,Water,PotholeRoad,Swamp,PotholeRoad,Swamp,Road,Swamp,AntiTankSpike,PotholeRoad,Grass,Wall,Grass,Tree,Water,Road,Grass,PotholeRoad,Road,Grass,Road,Grass,Grass,Water,Grass,Wall
Road,PotholeRoad,Swamp,Water,Swamp,PotholeRoad,Road,PotholeRoad,PotholeRoad,Water,AntiTankSpike,AntiTankSpike,Swamp,Road,Swamp,PotholeRoad,PotholeRoad,Wall,Wall,PotholeRoad,Tree,Water,Wall,Water,Swamp,AntiTankSpike,Grass,Swamp,Grass,PotholeRoad,Swamp,Swamp,Grass,Tree,Water,Wall,Road,Swamp,Grass,AntiTankSpike,Road,PotholeRoad,Water,Grass,Swamp,Grass,Grass,PotholeRoad,Water,Road
