Road,Road,Grass,PotholeRoad,Grass,Road,PotholeRoad,Tree,Water,Tree,AntiTankSpike,AntiTankSpike,Grass,Grass,AntiTankSpike,Swamp,AntiTankSpike,Water,Road,Road,Grass,Swamp,PotholeRoad,Tree,Wall
AntiTankSpike,Wall,AntiTankSpike,Swamp,PotholeRoad,Swamp,Road,Road,Wall,Swamp,Road,Tree,Wall,Road,Wall,Tree,Road,Tree,Swamp,Wall,Wall,Swamp,Water,Tree,Grass
PotholeRoad,AntiTankSpike,Water,AntiTankSpike,Water,AntiTankSpike,Swamp,Road,Wall,AntiTankSpike,Tree,Swamp,PotholeRoad,Tree,Road,Road,Grass,Water,Wall,Tree,PotholeRoad,Road,Road,Swamp,Road
Water,Road,Tree,Grass,AntiTankSpike,AntiTankSpike,Grass,Road,Tree,Tree,AntiTankSpike,Grass,Water,Road,Swamp,AntiTankSpike,Swamp,PotholeRoad,Road,Wall,Grass,PotholeRoad,Road,Tree,Swamp
AntiTankSpike,Tree,Tree,Water,Tree,Road,Wall,Grass,PotholeRoad,Grass,Wall,Water,Swamp,Swamp,Grass,Wall,Tree,Tree,Swamp,Road,Swamp,Grass,Wall,Tree,Water
AntiTankSpike,AntiTankSpike,Swamp,Grass,Grass,AntiTankSpike,Grass,Road,Tree,Water,PotholeRoad,Wall,Tree,Water,Swamp,Swamp,Road,Swamp,Grass,AntiTankSpike,Tree,Grass,Water,Road,Swamp
AntiTankSpike,Swamp,Water,Water,Swamp,Grass,AntiTankSpike,Wall,Wall,Water,Road,PotholeRoad,Swamp,Grass,Tree,Road,PotholeRoad,Water,Tree,Tree,Wall,Swamp,AntiTankSpike,AntiTankSpike,Water
Wall,AntiTankSpike,Swamp,AntiTankSpike,Tree,Grass,Grass,Road,PotholeRoad,Road,Tree,PotholeRoad,Road,AntiTankSpike,Road,AntiTankSpike,Road,AntiTankSpike,Grass,PotholeRoad,PotholeRoad,PotholeRoad,Wall,AntiTankSpike,AntiTankSpike
AntiTankSpike,Tree,PotholeRoad,Tree,Road,PotholeRoad,Grass,AntiTankSpike,AntiTankSpike,Tree,Swamp,PotholeRoad,Swamp,Road,Road,AntiTankSpike,Water,Road,PotholeRoad,Wall,Wall,Road,AntiTankSpike,Swamp,PotholeRoad
PotholeRoad,Wall,Tree,AntiTankSpike,Grass,PotholeRoad,PotholeRoad,Wall,Tree,Grass,Water,Wall,PotholeRoad,AntiTankSpike,Swamp,Grass,AntiTankSpike,Water,PotholeRoad,Road,Tree,Swamp,Wall,Road,Road
PotholeRoad,Tree,Water,AntiTankSpike,Grass,AntiTankSpike,AntiTankSpike,PotholeRoad,PotholeRoad,Tree,Road,PotholeRoad,Tree,PotholeRoad,Road,Road,Grass,Road,Tree,PotholeRoad,PotholeRoad,Grass,Swamp,Water,Wall
Road,Road,PotholeRoad,Water,Wall,PotholeRoad,Road,Grass,Road,Water,Tree,Grass,AntiTankSpike,AntiTankSpike,AntiTankSpike,Swamp,AntiTankSpike,Water,Wall,Water,AntiTankSpike,Tree,Water,Wall,Tree
Road,Swamp,Water,Wall,Water,PotholeRoad,Road,AntiTankSpike,Water,Road,PotholeRoad,Grass,Wall,AntiTankSpike,PotholeRoad,Tree,Tree,Road,Swamp,Swamp,PotholeRoad,Grass,Tree,Grass,AntiTankSpike
Road,Water,Water,Tree,Wall,Grass,Wall,Wall,Water,PotholeRoad,Swamp,Grass,Tree,Tree,PotholeRoad,Grass,Water,Swamp,Grass,Water,Wall,Wall,Wall,AntiTankSpike,AntiTankSpike
PotholeRoad,Road,Tree,AntiTankSpike,Water,Road,Tree,PotholeRoad,Road,Water,AntiTankSpike,Wall,Water,PotholeRoad,AntiTankSpike,Tree,Grass,Tree,Water,Swamp,Road,Grass,PotholeRoad,PotholeRoad,AntiTankSpike
Road,Water,Wall,Swamp,Tree,Water,Tree,Water,Grass,Tree,PotholeRoad,Swamp,AntiTankSpike,Road,Wall,Road,PotholeRoad,Grass,AntiTankSpike,PotholeRoad,PotholeRoad,AntiTankSpike,Road,Wall,Wall
Tree,Road,Swamp,Grass,Water,Wall,Swamp,Water,Water,Grass,Water,Road,Water,Swamp,Tree,Water,Road,Road,PotholeRoad,PotholeRoad,Water,Tree,Swamp,Grass,Road
Road,Grass,AntiTankSpike,Water,Road,Wall,PotholeRoad,Water,Wall,Swamp,Water,Grass,Swamp,Road,Tree,Grass,Swamp,Tree,Road,Grass,AntiTankSpike,Grass,Tree,Swamp,Tree
Grass,Water,Grass,Water,AntiTankSpike,Swamp,Wall,Wall,Tree,Road,AntiTankSpike,Road,Tree,Wall,PotholeRoad,AntiTankSpike,Grass,Road,Wall,Wall,AntiTankSpike,Grass,AntiTankSpike,Swamp,Swamp
Water,Swamp,Water,Swamp,Water,Wall,Road,Tree,Tree,AntiTankSpike,Road,Swamp,PotholeRoad,Water,Road,AntiTankSpike,Swamp,Swamp,PotholeRoad,Swamp,Wall,AntiTankSpike,Swamp,PotholeRoad,AntiTankSpike
